Dataset,Model,Accuracy Mean,Accuracy Std,Accuracy Display,Precision Mean,Precision Std,Precision Display,Precision Illicit Mean,Precision Illicit Std,Precision Illicit Display,Recall Mean,Recall Std,Recall Display,Recall Illicit Mean,Recall Illicit Std,Recall Illicit Display,F1 Mean,F1 Std,F1 Display,F1 Illicit Mean,F1 Illicit Std,F1 Illicit Display,ROC AUC Mean,ROC AUC Std,ROC AUC Display,PR-AUC Mean,PR-AUC Std,PR-AUC Display,Kappa Mean,Kappa Std,Kappa Display,MCC Mean,MCC Std,MCC Display
AMLSim,MLP,0.41,0.055870540013313916,0.4100 (0.0559),0.6151362726722963,0.05806367432185324,0.6151 (0.0581),0.3122091866623259,0.022413840158673506,0.3122 (0.0224),0.41,0.055870540013313916,0.4100 (0.0559),0.8012777777777778,0.11254686834130706,0.8013 (0.1125),0.3801984474943388,0.09259316749154459,0.3802 (0.0926),0.44770909574718115,0.03505622152178653,0.4477 (0.0351),0.579844384920635,0.07282711509884607,0.5798 (0.0728),0.4136053115129471,0.08231128880885298,0.4136 (0.0823),0.03052510812529819,0.05450733654044309,0.0305 (0.0545),0.048203422100318805,0.0824878086451733,0.0482 (0.0825)
AMLSim,GCN,0.39565,0.08235909074040465,0.3957 (0.0824),0.5496935007893696,0.12667950707351006,0.5497 (0.1267),0.3009867182605176,0.007851193558402025,0.3010 (0.0079),0.39565,0.08235909074040465,0.3957 (0.0824),0.7621666666666667,0.1977561629886664,0.7622 (0.1978),0.3471600697540589,0.1308316329903788,0.3472 (0.1308),0.42198848142009215,0.05330477151370409,0.4220 (0.0533),0.5031493452380952,0.019701367438641686,0.5031 (0.0197),0.3031226803859075,0.013311683660027423,0.3031 (0.0133),0.0010161024961750234,0.01676075169484794,0.0010 (0.0168),0.0010771608008759836,0.023704967282174447,0.0011 (0.0237)
AMLSim,GAT,0.4604833333333334,0.09450839073616814,0.4605 (0.0945),0.5927643378568697,0.0320148911320855,0.5928 (0.0320),0.29911017137097057,0.018008699624240357,0.2991 (0.0180),0.4604833333333334,0.09450839073616812,0.4605 (0.0945),0.6080000000000001,0.2555346734763386,0.6080 (0.2555),0.43768847674220873,0.1375576735254612,0.4377 (0.1376),0.3844242921956648,0.08022218538435998,0.3844 (0.0802),0.5048119047619047,0.03161134049285014,0.5048 (0.0316),0.3016941557327906,0.022642414290526578,0.3017 (0.0226),0.0024374781391530488,0.03192541683767897,0.0024 (0.0319),0.009192509579002531,0.04122691021630826,0.0092 (0.0412)
AMLSim,GIN,0.38699999999999996,0.03804398543247286,0.3870 (0.0380),0.6033302091397215,0.09785347596004271,0.6033 (0.0979),0.31102610065224917,0.005853720790989061,0.3110 (0.0059),0.38699999999999996,0.03804398543247286,0.3870 (0.0380),0.8557777777777776,0.07230169514837272,0.8558 (0.0723),0.33854578418950554,0.07664207873949604,0.3385 (0.0766),0.45541458263741735,0.008814482237407929,0.4554 (0.0088),0.5424030158730159,0.019288888804323303,0.5424 (0.0193),0.32500145932038627,0.016968399859383598,0.3250 (0.0170),0.028362598580002826,0.014412975192863853,0.0284 (0.0144),0.050585535867896804,0.020731324612236583,0.0506 (0.0207)
AMLSim,RF,0.4254333333333334,0.003136914070397449,0.4254 (0.0031),0.6246640502302189,0.009920562090991058,0.6247 (0.0099),0.31801294667899016,0.003226478296891339,0.3180 (0.0032),0.4254333333333334,0.003136914070397449,0.4254 (0.0031),0.7999444444444445,0.02075898611372886,0.7999 (0.0208),0.41104007426552513,0.005709748784292605,0.4110 (0.0057),0.455075798600639,0.006524385486394999,0.4551 (0.0065),0.4964273214285715,0.005999713549795339,0.4964 (0.0060),0.28320756951967874,0.002774015922382504,0.2832 (0.0028),0.045217984597566506,0.008357330988719847,0.0452 (0.0084),,,N/A
AMLSim,SVM,0.46449999999999986,2.8230064270418506e-16,0.4645 (0.0000),0.6389855845478274,0.0,0.6390 (0.0000),0.33094041636755206,0.0,0.3309 (0.0000),0.46449999999999986,2.8230064270418506e-16,0.4645 (0.0000),0.7683333333333334,1.1292025708167404e-16,0.7683 (0.0000),0.46524314922857823,3.387607712450221e-16,0.4652 (0.0000),0.4626191670847966,2.8230064270418506e-16,0.4626 (0.0000),0.6293619047619049,2.2584051416334807e-16,0.6294 (0.0000),0.4698195159435272,0.0,0.4698 (0.0000),0.0744901486346353,5.646012854083702e-17,0.0745 (0.0000),,,N/A
AMLSim,XGB,0.497,5.646012854083702e-17,0.4970 (0.0000),0.6340148421899682,1.1292025708167404e-16,0.6340 (0.0000),0.33707865168539336,2.2584051416334807e-16,0.3371 (0.0000),0.497,5.646012854083702e-17,0.4970 (0.0000),0.6999999999999997,3.387607712450221e-16,0.7000 (0.0000),0.5095847278514312,1.1292025708167404e-16,0.5096 (0.0000),0.45503791982665237,2.8230064270418506e-16,0.4550 (0.0000),0.551988095238095,3.387607712450221e-16,0.5520 (0.0000),0.3174842596054077,0.0,0.3175 (0.0000),0.08412235979606705,7.057516067604627e-17,0.0841 (0.0000),,,N/A
Elliptic,MLP,0.925060998028009,0.02151830289619648,0.9251 (0.0215),0.9395472649660156,0.007187379569384604,0.9395 (0.0072),0.37377207161938947,0.08589235366246405,0.3738 (0.0859),0.925060998028009,0.02151830289619648,0.9251 (0.0215),0.4842239185750637,0.14184864331629785,0.4842 (0.1418),0.9302571617844201,0.013700864768594025,0.9303 (0.0137),0.3968702705239304,0.11212954685012078,0.3969 (0.1121),0.816000575743842,0.011875718486750132,0.8160 (0.0119),0.32664515723784765,0.05772340830683722,0.3266 (0.0577),0.36098027604950855,0.10887671761496204,0.3610 (0.1089),0.37448610996820514,0.09643324354169215,0.3745 (0.0964)
Elliptic,GCN,0.9358534710384704,0.03118220089668596,0.9359 (0.0312),0.9327699895607998,0.009303624434476947,0.9328 (0.0093),0.41841166262048646,0.11939025524396502,0.4184 (0.1194),0.9358534710384704,0.03118220089668596,0.9359 (0.0312),0.29192111959287537,0.12774171242534121,0.2919 (0.1277),0.9321312340448339,0.019650042667629205,0.9321 (0.0197),0.32171659729519714,0.10776558792505964,0.3217 (0.1078),0.7904006394849865,0.017507610735814656,0.7904 (0.0175),0.2678468391299248,0.06992111752911948,0.2678 (0.0699),0.2926288755370135,0.1083129751962568,0.2926 (0.1083),0.3075820189516865,0.10125027321243711,0.3076 (0.1013)
Elliptic,GAT,0.7605735485811691,0.14602116684641414,0.7606 (0.1460),0.9257213680599563,0.01021228671605019,0.9257 (0.0102),0.1453298329850581,0.07431932880123948,0.1453 (0.0743),0.7605735485811691,0.14602116684641414,0.7606 (0.1460),0.5131043256997455,0.2825484341822813,0.5131 (0.2825),0.8141900023680052,0.10129896589410563,0.8142 (0.1013),0.18146325617678397,0.05211082462900574,0.1815 (0.0521),0.7580709666222067,0.025968866689145113,0.7581 (0.0260),0.14363045170903205,0.02820718048516596,0.1436 (0.0282),0.1156033865325251,0.048526424957470886,0.1156 (0.0485),0.16452927208580495,0.04840844042368023,0.1645 (0.0484)
Elliptic,GIN,0.9148534376148935,0.04775024139001965,0.9149 (0.0478),0.9346696348921111,0.005207388270479529,0.9347 (0.0052),0.35025047422778055,0.11950621183159982,0.3503 (0.1195),0.9148534376148935,0.04775024139001965,0.9149 (0.0478),0.42035623409669204,0.0673489391456718,0.4204 (0.0673),0.9225686799872344,0.03076366776910598,0.9226 (0.0308),0.3616325748822899,0.05893635665232171,0.3616 (0.0589),0.7821144152201035,0.022382814899138966,0.7821 (0.0224),0.30036537994941076,0.04205914854721694,0.3004 (0.0421),0.32146062231040184,0.07071794614580094,0.3215 (0.0707),0.33175839118904754,0.06208578878914718,0.3318 (0.0621)
